   Step          Time           Temp          TotEng         KinEng         PotEng         Press         c_msd[4]   
         0   0              800           -23481.315      10.547628     -23491.863     -53169.091      0            
       500   0.5            771.83398     -23471.901      10.176272     -23482.077     -2093.8724      0.21254472   
      1000   1              810.04275     -23471.092      10.680037     -23481.772     -1124.4605      0.25361794   
      1500   1.5            936.30957     -23469.002      12.344806     -23481.347      6867.1264      0.213802     
      2000   2              812.14154     -23470.481      10.707708     -23481.188      4585.2662      0.48656352   
      2500   2.5            765.21934     -23470.916      10.089061     -23481.005     -3225.4941      0.76624898   
      3000   3              844.71297     -23469.154      11.137148     -23480.292      13938.688      0.83748621   
      3500   3.5            763.18443     -23472.091      10.062232     -23482.153      5318.9678      0.95684266   
      4000   4              798.55216     -23470.56       10.528539     -23481.089      4722.7664      0.83738461   
      4500   4.5            805.88122     -23469.21       10.625169     -23479.835      7401.2084      0.91821526   
      5000   5              828.46638     -23468.08       10.922944     -23479.003      11282.98       1.3426046    
      5500   5.5            760.57764     -23471.363      10.027862     -23481.391     -9745.2372      1.5542173    
      6000   6              824.36028     -23470.056      10.868807     -23480.925      4088.2591      1.7263315    
      6500   6.5            784.00033     -23470.307      10.33668      -23480.643      524.7572       2.1238265    
      7000   7              752.32969     -23471.731      9.919117      -23481.65      -4437.6191      2.5369018    
      7500   7.5            915.49969     -23467.549      12.070438     -23479.62       9384.5163      2.4056571    
      8000   8              718.97188     -23471.525      9.4793098     -23481.004      384.00491      2.8243171    
      8500   8.5            734.0185      -23471.937      9.6776924     -23481.615      1908.3564      3.1004125    
      9000   9              645.73443     -23471.806      8.513708      -23480.32       4722.1042      2.9715896    
      9500   9.5            885.34419     -23469.439      11.672851     -23481.112     -268.68224      3.0852708    
     10000   10             644.89331     -23471.567      8.5026183     -23480.07       7807.533       3.458519     
     10500   10.5           956.29339     -23468.88       12.608284     -23481.488     -3660.9029      3.6465797    
     11000   11             748.1935      -23471.231      9.8645832     -23481.096      6233.9987      3.5784366    
     11500   11.5           747.9782      -23469          9.8617447     -23478.862      10962.445      3.5669007    
     12000   12             783.5221      -23469.523      10.330374     -23479.853      17650.77       3.6891288    
     12500   12.5           856.49511     -23470.806      11.29249      -23482.099      4949.9481      3.5587969    
     13000   13             804.3572      -23471.715      10.605075     -23482.32      -667.36676      3.6112793    
     13500   13.5           739.08961     -23471.345      9.7445526     -23481.09       6593.8098      3.5092223    
     14000   14             787.79424     -23470.209      10.386701     -23480.596      5486.8548      3.503634     
     14500   14.5           792.05155     -23469.662      10.442831     -23480.104      4896.3419      3.5434408    
     15000   15             834.55696     -23468.858      11.003245     -23479.861      11562.851      3.8587903    
     15500   15.5           856.50152     -23470.872      11.292574     -23482.165     -2046.2973      3.9709621    
     16000   16             857.58201     -23468.098      11.30682      -23479.405      5503.6728      4.4844227    
     16500   16.5           796.08282     -23470.657      10.495982     -23481.153      4515.7784      4.9149926    
     17000   17             835.37799     -23472.826      11.01407      -23483.841     -9210.4299      5.0555988    
     17500   17.5           849.87906     -23470.748      11.20526      -23481.953      3214.4031      4.91059      
     18000   18             827.124       -23470.947      10.905245     -23481.852      1886.3715      5.1240436    
     18500   18.5           834.14015     -23470.432      10.99775      -23481.43       2083.4061      5.0462688    
     19000   19             897.67954     -23468.005      11.835487     -23479.84       4967.943       5.1401942    
     19500   19.5           885.9801      -23468.584      11.681236     -23480.266      11229.129      4.9375051    
     20000   20             741.17441     -23471.413      9.7720398     -23481.185      4275.0325      4.9311956    
     20500   20.5           659.38062     -23472.426      8.6936267     -23481.12       863.04456      4.9109418    
     21000   21             738.95363     -23472.429      9.7427599     -23482.172     -6658.5462      4.9369602    
     21500   21.5           758.50531     -23469.146      10.00054      -23479.147      11479.59       5.3739701    
     22000   22             725.55182     -23471.561      9.5660633     -23481.127     -1744.84        5.7650316    
     22500   22.5           924.15007     -23467.784      12.184489     -23479.969      6883.2034      5.885301     
     23000   23             738.4898      -23472.313      9.7366445     -23482.05      -4366.4981      5.7117732    
     23500   23.5           766.138       -23471.663      10.101173     -23481.764     -953.13182      5.6882839    
     24000   24             872.21817     -23469.824      11.499791     -23481.323     -522.65519      5.8307179    
     24500   24.5           768.1773      -23469.956      10.12806      -23480.084      5715.1284      6.1480086    
